firstName,lastName,bcubeID
Cesar,Vargas,171617
Domingo,German,171673
Domingo,German,171673
Jorge,Lopez,171729
Frankie,Montas,171748
Frankie,Montas,171748
Ivan,Pineyro,171765
Ranfi,Casimiro,171797
Miguel,Almonte,171916
Jayson,Aquino,171921
Jayson,Aquino,171921
David,Paulino,171942
David,Paulino,171942
Sean,Newcomb,172738
Brett,Kennedy,172920
Brett,Kennedy,172920
J.C.,Cloney,173726
Patrick,Weigel,173750
Cody,Carroll,174004
Brian,Keller,174125
Cam,Roegner,174518
Matt,Hall,174594
Matt,Hall,174594
Jesse,Scholtens,174953
Jalen,Beeks,175200
Matt,Esparza,175265
Austin,Mason,175303
Tony,Gonsolin,175714
Tony,Gonsolin,175714
Sam,Howard,175819
Matt,Milburn,176052
Andrew,Moore,176075
Blake,Quinn,176194
Michael,Rucker,176825
Jose,Urena,180486
Wes,Parsons,180492
Wes,Parsons,180492
Julio,Urias,180493
Julio,Urias,180493
Matt,Ball,180647
Daulton,Jefferies,180650
Stephen,Gonsalves,180671
Stephen,Gonsalves,180671
Stephen,Gonsalves,180671
Dane,Dunning,180686
Dane,Dunning,180686
Logan,Shore,180692
Casey,Meisner,180699
Scott,Moss,180719
Cole,Stapler,180735
Zack,Littell,180737
Zack,Littell,180737
Jake,Bray,180754
Kevin,McGowan,180763
Mike,Shawaryn,180797
Patrick,Murphy,180823
Keynan,Middleton,180824
Heath,Fillmyer,180854
Tom,Hatch,180876
Nick,Pivetta,180877
Cody,Reed,180888
Alec,Hansen,180937
Alec,Hansen,180937
Lou,Trivino,180945
Tyler,Bashlor,180950
T.J.,Zeuch,180966
T.J.,Zeuch,180966
Paul,Fry,180970
Eric,Lauer,180989
Eric,Lauer,180989
Eric,Lauer,180989
Wil,Crowe,181027
Dakota,Hudson,181082
Zack,Brown,181088
Zack,Brown,181088
Chris,Viall,181097
Adrian,De Horta,181098
Joe,Palumbo,181108
Kohl,Stewart,181115
Kohl,Stewart,181115
Justin,Dunn,181127
Akeem,Bostick,181160
Tyler,Mahle,181168
Tyler,Mahle,181168
Glenn,Sparkman,181178
Glenn,Sparkman,181178
Reynaldo,Lopez,181206
Yohander,Mendez,181211
Yohander,Mendez,181211
Yohander,Mendez,181211
Andres,Machado,181507
Alex,Reyes,181510
Alex,Reyes,181510
Alex,Reyes,181510
Alex,Reyes,181510
Alex,Reyes,181510
Lewis,Thorpe,181628
Luis,Severino,181638
Luiz,Gohara,181644
Luiz,Gohara,181644
Keury,Mella,181688
Keury,Mella,181688
Fernando,Romero,181744
Fernando,Romero,181744
Jefry,Rodriguez,181767
Jefry,Rodriguez,181767
Jose,Castillo,181804
German,Marquez,181822
Antonio,Senzatela,181907
Aaron,Wilkerson,182012
Edgar,Arredondo,182599
Jaime,Barria,182707
Jaime,Barria,182707
Elieser,Hernandez,182751
Elieser,Hernandez,182751
Derian,Gonzalez,183026
Yefry,Ramirez,183136
Emilio,Vargas,183144
Jonathan,Loaisiga,183252
Jonathan,Loaisiga,183252
Jonathan,Loaisiga,183252
Luis,Castillo,183260
Jon,Duplantier,183344
Jon,Duplantier,183344
